ID,'Product using score','User area',gender,age,'Cumulative using time','Point balance','Product service usage','Pay a monthly fee by credit card','Active user',' Estimated salary','Purchase or not'
9623,?,?,Male,31,8,112211.61,?,1,0,26261.42,0
9390,?,Taipei,?,?,2,0,1,1,?,?,0
97,?,Tainan,Male,?,9,?,1,0,?,?,0
5340,496,?,Female,?,4,?,1,1,1,31532.96,1
1046,588,Tainan,Male,?,6,121132.26,?,1,0,86460.28,0
1762,662,?,Female,36,4,166909.2,?,1,0,138871.12,1
3568,470,Tainan,Female,31,2,?,?,1,?,?,0
2297,749,?,Male,47,9,110022.74,1,?,1,?,1
8621,768,Taipei,Female,40,8,?,2,0,1,69080.46,0
2359,?,Taipei,?,?,1,163159.85,1,0,1,15602.8,0
8103,?,?,Female,45,2,?,?,0,1,115719.08,0
9078,730,?,Female,36,8,148749.29,2,?,0,?,0
823,642,Tainan,?,34,8,0,?,1,0,72085.1,0
5743,832,?,?,61,2,0,1,0,?,127804.66,1
1245,587,Taichung,Female,?,0,132122.42,2,?,0,31730.32,0
9484,692,Taipei,Female,36,3,79551.12,?,0,?,?,0
2773,597,?,?,?,6,124978.19,2,1,1,7144.46,0
3362,?,?,Female,?,7,76595.08,?,?,?,127095.14,0
6005,521,Tainan,Female,22,10,0,1,1,?,101311.95,0
2629,634,?,?,48,2,107247.69,1,1,1,?,1
9230,847,Taichung,Female,35,?,111743.43,?,1,?,183584.14,0
4239,655,Taipei,?,39,6,94631.26,?,?,1,148948.52,0
9674,643,Taipei,?,?,9,?,2,?,?,155870.82,0
2694,662,Taipei,Male,34,2,0,?,0,1,21497.27,0
3865,620,?,Male,40,?,108197.11,?,1,?,49722.34,0
6502,679,Taipei,Male,?,9,?,2,1,0,?,0
9216,584,?,Female,37,10,?,?,1,1,70927.11,1
4069,631,Tainan,Male,?,?,?,?,1,0,13813.24,0
3447,649,Taipei,Male,37,9,?,2,1,1,247.36,0
349,654,Taichung,Female,32,1,?,?,1,?,?,0
9059,?,Tainan,?,48,6,140576.11,1,1,1,116971.05,0
3484,?,?,Male,?,6,0,2,1,1,?,0
8440,?,Taipei,?,22,?,114991.45,1,1,1,37392.56,0
8812,610,?,Female,?,7,81905.95,?,?,1,61623.19,0
5204,753,Taichung,Male,30,1,?,1,1,?,?,0
5780,684,Tainan,Male,?,2,70291.02,1,?,1,?,1
2816,?,Taichung,Male,?,1,95668.82,2,1,?,100335.55,0
5850,?,Taipei,Male,51,?,?,1,0,0,53353.36,0
9695,581,Taipei,?,25,5,77886.53,2,1,?,?,0
468,816,Taichung,Female,?,5,?,3,1,?,71905.77,1
8896,?,?,?,40,8,122038.34,1,?,0,102085.35,0
2868,559,Tainan,Female,?,1,0,?,0,1,?,0
9311,?,?,Male,?,2,0,2,?,1,119808.64,0
4624,?,?,Female,24,?,?,1,?,1,168515.61,0
4972,681,Tainan,Male,30,?,128393.29,?,1,1,180593.45,0
6383,797,Taipei,Male,24,5,?,?,1,0,?,0
936,619,Taipei,?,38,3,0,2,?,?,116467.35,0
3067,503,?,Female,?,?,0,?,?,0,?,0
8412,619,?,?,?,?,0,2,?,?,42442.21,0
7306,?,Taipei,?,28,?,108116.66,1,?,?,27411.19,0
6147,738,Tainan,?,?,3,122134.4,?,0,?,27867.59,0
5811,495,Tainan,Female,?,7,?,2,0,0,?,0
3154,702,Taipei,Female,?,6,149218.39,1,?,?,9633.01,0
3708,652,?,Female,?,3,?,2,?,0,?,0
9728,530,Taipei,Female,45,1,?,?,0,1,?,1
7348,?,Tainan,Male,42,7,0,2,?,0,7680.23,0
9370,?,Tainan,Female,39,2,?,1,1,1,52138.49,0
8100,633,Taipei,Male,?,?,91902.56,2,1,1,?,0
5642,675,?,?,42,?,92616.64,2,1,0,8567.18,0
6053,?,Taichung,Male,52,1,98443.14,2,?,?,92033.98,0
4136,712,Taipei,Female,?,3,87375.78,2,0,?,166194.53,0
3511,534,Taipei,Male,35,2,81951.74,?,?,0,?,0
1678,784,?,Female,40,8,0,2,1,0,108891.3,0
9397,700,?,Female,40,2,0,2,1,0,199753.97,0
7906,701,?,Male,35,10,159693.9,2,?,1,71173.64,0
607,699,Taipei,?,?,4,?,2,?,?,111307.98,0
2876,?,Tainan,?,33,7,173331.52,1,?,0,150452.88,0
4455,615,Taipei,Male,36,?,0,1,1,1,27011.8,1
3284,635,Taichung,?,?,4,81556.89,2,?,0,191914.37,0
2807,592,Tainan,Male,38,0,0,1,1,0,65986.48,1
6605,774,Taipei,?,?,?,94722.88,1,?,1,61450.96,0
1384,571,?,Female,23,?,?,?,0,1,17163.75,0
5808,679,Taipei,Female,?,?,112528.65,2,1,?,177362.45,0
2275,?,?,?,?,9,106804.26,3,?,?,107890.69,1
7147,?,?,Male,41,5,57568.94,1,1,?,61128.29,0
7114,733,Taipei,Female,24,3,?,?,1,1,9617.24,0
8517,500,Taipei,Female,34,4,0,?,1,0,12833.96,0
8853,708,?,?,?,8,99640.89,1,1,0,12429.22,0
9286,551,Tainan,?,48,?,?,?,0,0,94978.1,0
3249,516,Taipei,Male,?,5,128653.59,?,1,?,127558.26,0
7596,678,?,Female,?,6,0,?,?,0,8199.5,0
9117,?,Taipei,Male,?,3,0,2,1,0,?,0
2672,?,?,Male,35,?,0,2,0,1,140780.8,0
6832,?,Taichung,?,52,8,?,3,0,0,150093.32,1
511,524,Taichung,Female,31,10,?,2,1,1,161811.23,0
6356,618,Tainan,?,41,4,?,?,0,0,136435.75,0
4389,553,Tainan,Female,39,?,142876.98,2,1,0,44363.42,0
9688,791,?,Female,31,10,75499.24,1,?,0,?,0
9514,515,?,?,48,5,129387.94,1,?,?,147955.91,1
3286,735,?,Female,43,9,98807.45,1,0,0,184570.04,1
4211,437,Tainan,Male,28,2,?,1,1,0,152987.42,0
4251,489,Taipei,?,38,5,?,1,0,0,85231.88,0
5109,650,Tainan,Male,55,9,?,1,1,1,?,0
5452,?,Taipei,Male,43,4,?,?,1,?,149401.33,0
121,?,Taipei,Male,34,8,129433.34,2,0,?,38131.77,0
5384,579,Taipei,Male,28,4,?,2,1,1,176925.69,0
7698,?,Tainan,?,41,?,0,?,1,0,54342.83,0
1948,?,Taipei,Male,?,1,?,2,?,?,172033.57,0
503,774,Taipei,Male,60,5,?,?,?,?,74135.48,1
555,?,Taichung,?,33,3,129834.67,1,1,?,?,0
2591,848,Tainan,Male,22,?,120811.89,?,1,1,?,0
4310,?,?,Female,?,5,0,1,?,0,133991.11,1
4015,641,Taichung,Female,51,2,?,4,1,1,26912.72,1
6682,602,Taipei,?,31,7,?,1,1,1,179446.31,0
927,?,Tainan,?,?,3,?,1,1,1,?,0
6533,?,?,Male,?,4,0,3,1,1,?,0
5559,?,?,Male,34,3,126729.41,1,1,1,26106.39,1
5387,?,?,Male,?,9,118317.27,4,0,?,78702.98,1
2479,?,Taipei,Female,?,5,126670.37,?,?,0,102426.06,0
7913,642,Taipei,Male,35,?,133161.95,?,0,1,?,0
692,767,Taipei,?,?,1,76408.85,2,1,0,77837.63,0
5179,850,?,Male,22,7,?,2,?,0,?,0
6563,720,Taipei,?,44,3,?,?,1,?,180134.88,1
5876,512,Taipei,Female,33,6,121685.31,?,?,1,?,0
9178,?,?,Female,28,3,139986.65,1,?,0,136846.75,0
9226,?,Taichung,Female,32,4,?,?,?,1,162961.79,0
5587,816,?,?,25,2,?,2,1,1,35770.84,0
2661,?,Taipei,Female,44,?,152509.25,1,1,1,136915.15,0
1812,779,Taipei,?,26,?,0,?,0,?,?,0
5798,699,Taipei,?,37,?,?,2,?,0,83263.04,0
4558,658,Taichung,Male,?,?,?,2,?,0,70370.24,0
7602,828,Taipei,Male,31,?,0,1,?,1,?,0
7088,675,Tainan,?,35,?,155621.08,1,0,?,?,0
3738,663,Tainan,?,27,8,?,?,1,?,188007.99,0
7001,775,?,Male,28,9,?,1,?,0,149331.01,0
8889,?,?,Male,23,3,?,?,1,0,95583.45,0
8141,?,Taipei,?,?,6,0,1,0,1,?,0
8931,?,Taipei,Female,69,5,?,1,?,1,62280.91,0
709,580,Taipei,?,?,8,?,2,?,?,10357.03,0
708,620,?,?,?,4,?,2,1,?,6232.31,0
5088,?,Tainan,Male,43,9,?,1,1,0,199290.68,1
3570,695,?,Female,?,8,0,1,?,0,?,1
7155,605,?,Male,?,9,?,1,0,?,147822.81,0
346,840,Taipei,?,?,7,?,2,?,0,90908.95,0
3930,646,Taichung,?,?,6,144773.29,?,1,?,?,0
9483,707,Taipei,Male,40,?,?,?,?,0,14090.4,1
7981,?,?,Male,?,7,149400.27,?,?,?,167522.19,0
2890,594,?,?,?,?,?,1,0,1,5719.11,0
238,539,Taichung,Female,43,3,116220.5,?,1,0,?,1
6847,?,Tainan,?,?,5,?,?,0,1,118319.5,0
260,?,Taichung,?,38,3,54901.01,?,?,1,140075.55,0
1727,?,?,Male,?,?,112281.7,1,0,?,89893.6,0
2075,661,Taichung,?,44,1,141136.62,1,1,?,?,1
7163,607,?,Male,34,9,?,1,1,?,177747.72,0
2240,493,?,?,31,3,0,?,1,1,176570.28,1
5115,?,?,Male,?,8,185648.56,?,0,0,192156.54,1
3869,?,Taipei,?,34,4,0,?,0,1,?,0
1654,?,Taipei,Male,56,1,100374.58,1,1,0,?,1
3556,528,Taipei,?,36,?,?,1,?,1,149912.28,1
8491,746,Taipei,Male,48,5,165282.42,1,1,0,153786.46,1
7430,685,?,Female,?,?,117302.62,1,?,0,68701.73,0
3166,?,Taipei,?,?,?,0,1,?,0,?,0
7270,?,Taichung,Male,34,7,?,1,?,0,?,1
410,537,Taichung,Female,41,?,138306.34,1,?,?,?,0
2197,773,Taichung,Male,47,2,118079.47,?,?,1,143007.49,1
1228,557,?,Female,28,7,?,2,?,?,184317.74,0
9757,648,Tainan,Female,?,7,?,1,1,?,144532.85,1
6946,554,Taichung,?,31,?,135470.9,1,?,0,?,0
4504,656,?,Male,33,7,?,2,?,?,?,0
3725,?,Taichung,Female,51,9,143930.92,1,0,1,?,1
5625,617,?,?,?,?,0,1,?,0,143298.06,0
4906,?,?,Male,30,?,0,?,1,0,83090.35,0
6165,710,?,Male,58,?,170113,2,?,1,10494.64,0
1626,?,Taipei,Male,?,3,?,2,?,0,86935.08,0
7869,611,?,?,29,?,78885.88,2,?,1,26927.69,0
3146,?,?,?,48,2,69329.47,1,0,0,102640.52,1
8048,?,?,Male,?,?,121898.58,?,1,0,?,0
4704,692,?,Female,44,8,0,1,0,1,159069.37,0
2849,850,Taipei,Female,41,?,0,?,1,1,?,0
2857,432,?,Female,45,3,110219.14,1,1,?,?,1
8744,450,?,?,?,9,74237.2,2,0,1,195463.35,0
2445,663,Taichung,Female,?,4,?,2,0,0,?,0
7799,?,Taipei,Male,?,3,?,?,?,0,76515.79,0
2774,559,?,Male,29,1,0,2,0,0,155639.76,0
1746,529,?,?,30,?,116295.29,1,1,?,75285.47,0
2425,?,?,Male,31,2,0,?,?,?,91957.39,0
2026,634,Taipei,Male,45,9,?,2,0,?,17622.82,0
880,518,Taipei,Female,45,9,105525.65,2,?,?,73418.29,0
3794,?,?,Male,58,5,?,1,1,0,?,1
3580,778,Taichung,Male,31,9,182275.23,2,1,0,190631.23,0
6109,?,?,Male,41,?,?,2,?,?,138536.09,0
3056,812,Taipei,Male,?,4,?,2,1,0,165038.41,0
7699,592,?,Male,60,?,0,?,1,1,?,1
2731,670,Tainan,Male,30,?,133446.34,1,0,?,3154.95,0
6967,663,?,?,22,?,0,2,0,1,131827.15,0
1869,?,Taipei,Male,36,8,97786.08,?,0,1,?,0
9992,597,Taipei,Female,53,4,88381.21,1,?,?,?,1
16,616,Taichung,Male,?,3,143129.41,2,?,1,64327.26,0
8108,560,?,Male,50,3,?,?,?,?,?,0
9488,850,Tainan,Female,32,?,?,?,1,1,3830.59,0
1790,?,Tainan,?,37,?,0,2,?,?,?,0
3164,?,Taichung,Female,37,?,114737.26,?,1,?,106655.88,1
129,828,Taipei,Female,41,7,?,2,?,0,171378.77,0
2975,?,?,Male,?,9,69129.59,1,?,1,170705.53,0
4947,546,Taipei,?,?,8,?,1,?,1,66408.01,1
5274,529,Taipei,?,?,9,147493.89,?,1,0,33656.35,0
4900,?,Taipei,Female,32,9,192122.84,1,1,1,?,1
4120,670,Taipei,Male,?,?,0,?,?,0,?,0
5235,678,Taipei,?,41,1,143443.61,1,1,0,196622.28,1
2130,?,?,?,?,4,?,1,1,0,109496.45,0
3795,496,Taipei,Male,32,?,127845.83,1,?,?,66469.2,0
6782,?,Taipei,?,?,3,0,?,1,?,176883.42,0
5828,653,Tainan,?,35,?,0,?,?,1,45956.05,0
3209,?,Taichung,Male,?,?,143421.74,1,1,?,97879.02,0
6495,699,?,Male,?,7,?,?,1,1,?,0
7275,652,?,Female,34,?,?,?,?,?,?,0
781,639,Taipei,Male,?,8,0,2,1,0,?,0
3458,657,Tainan,Male,36,8,188241.05,2,?,0,183058.51,1
9702,678,Tainan,Male,38,?,?,1,?,0,126253.31,0
8470,?,Taipei,Male,71,5,183135.39,2,?,1,?,0
9523,418,Taipei,Male,?,7,?,2,1,1,88878.15,0
9129,693,Taichung,Female,43,1,121927.92,1,1,0,87994.95,1
8659,557,Taichung,?,38,2,?,1,?,0,102076.03,0
2976,487,Taipei,?,37,6,0,2,1,1,126477.41,0
1779,657,Taipei,Female,?,5,95858.37,1,1,?,68255.88,0
8022,512,Taipei,Female,41,6,0,1,1,?,100507.81,0
7946,759,Taipei,?,45,8,0,2,1,1,?,0
4841,411,?,Female,35,2,?,2,1,1,93825.78,0
9262,629,Taipei,Female,61,6,?,2,1,?,133672.61,0
1409,?,?,?,?,?,?,?,0,?,?,0
7286,679,?,Male,29,3,?,2,1,1,63687.06,0
5402,?,Taipei,Male,47,10,0,2,1,0,170481.98,0
9981,741,Tainan,?,35,6,?,1,0,?,99595.67,0
3395,?,Taipei,Male,29,6,0,?,1,1,?,0
1921,?,Taipei,Female,?,7,0,?,?,1,48778.46,0
9660,?,Taichung,Male,42,?,?,?,1,1,?,0
9244,505,?,Male,37,0,?,1,1,1,93736.69,0
9808,649,Taipei,?,36,8,?,?,0,?,109179.89,0
1664,700,Taichung,?,?,4,148571.07,1,1,?,?,1
5470,723,Taipei,?,21,4,?,2,0,0,?,0
1656,669,Taipei,Female,?,9,61196.54,1,?,0,?,0
8978,631,Tainan,?,31,2,88161.85,2,1,0,127630.88,0
493,639,Taipei,Female,?,4,81550.94,2,?,1,118974.77,0
5119,721,Taipei,?,40,3,0,?,1,1,?,0
6932,531,?,?,37,1,?,1,?,?,4606.97,0
5036,657,?,?,?,5,?,1,?,0,?,0
2559,727,Taichung,?,?,?,119027.28,2,?,?,137903.54,0
9980,?,Taipei,?,58,?,90022.85,?,0,1,2988.28,0
5973,548,?,Male,49,9,108437.89,?,?,0,127022.87,1
5472,704,Taichung,Female,39,10,?,2,?,0,171971.25,1
9970,609,Taipei,Male,?,6,0,1,0,1,112585.19,0
9936,735,Taichung,?,28,?,?,2,?,1,114957.22,0
8629,704,Taipei,Male,44,?,0,?,0,1,?,0
3670,653,Taipei,Male,29,2,0,2,1,1,?,0
515,605,Taipei,Female,?,?,136188.78,1,1,?,67110.59,1
1357,709,?,Male,49,4,154344.49,2,?,1,38794.57,0
7530,579,?,?,33,1,118392.75,1,?,?,157564.75,0
6469,767,Taipei,Female,?,6,?,1,?,?,27922.45,0
6786,?,Tainan,Male,41,5,104631.67,1,1,1,?,0
5108,?,Tainan,?,37,9,?,1,1,0,?,0
1616,?,?,Female,21,6,?,1,1,1,?,0
2913,?,Taichung,?,32,?,?,3,1,1,?,1
1135,769,Taipei,Female,?,?,0,1,?,1,57876.05,0
5079,743,Tainan,Male,35,6,79388.33,1,1,?,193360.69,0
5416,850,Taipei,?,28,1,?,1,?,1,74780.13,0
9888,684,Tainan,Male,24,8,?,1,1,?,22527.27,0
6624,581,?,Male,?,3,104367.5,1,1,1,29937.75,0
9680,472,?,Male,19,?,0,?,1,?,3453.4,0
598,?,Taichung,Male,?,9,111574.41,1,1,1,30838.51,0
5683,620,Tainan,?,29,9,0,?,1,0,13133.88,0
4721,619,?,Female,33,3,100488.92,2,0,1,36446.74,0
9624,?,Taipei,?,?,?,?,1,1,0,29586.73,0
460,637,Tainan,Male,37,?,0,1,?,1,186062.36,0
9969,?,Taichung,Female,40,8,153537.57,2,?,0,?,0
8810,593,Taichung,?,38,?,142658.04,2,?,1,135337.11,0
5175,?,?,?,34,7,?,2,1,?,?,0
2163,?,Taipei,Female,?,?,?,1,1,0,128136.29,0
875,645,Taipei,Female,38,5,101430.3,2,?,1,4400.32,0
5128,821,Tainan,Female,38,?,0,2,?,1,126241.4,1
1969,488,?,Female,39,9,140553.46,1,?,0,?,0
5594,?,Tainan,Male,?,7,0,1,1,?,184839.7,1
1794,?,Tainan,Male,36,1,?,2,1,1,146371.72,0
5018,746,Taichung,Male,34,?,141806,2,1,1,183494.87,0
1301,?,Taipei,Male,37,1,134752.08,1,?,0,162511.55,0
6267,537,Tainan,Female,33,7,136082,1,?,0,?,0
9691,846,?,Female,?,?,142388.61,2,0,1,68393.64,1
4700,844,Tainan,Male,56,5,99529.7,1,0,1,?,1
7441,622,Tainan,Female,47,?,142319.03,1,0,0,?,0
6595,747,?,Female,40,3,0,?,0,?,?,1
8438,781,Taipei,Male,?,9,0,2,0,0,172097.4,0
6497,595,Taichung,?,44,4,?,2,1,?,?,1
6015,535,Tainan,?,48,9,?,1,1,0,157358.43,1
4475,767,Taipei,Male,36,3,0,1,0,?,?,0
4340,?,Taipei,?,43,1,0,2,1,1,196645.87,0
1636,?,Taipei,?,33,?,127305.5,?,?,?,120037.36,0
9968,623,Taipei,Male,48,5,118469.38,1,1,1,158590.25,0
6615,?,Taipei,Male,?,1,165312.27,?,1,0,?,0
1539,607,?,Female,36,?,98266.3,1,?,1,?,0
6584,?,Taichung,Male,21,?,153344.72,1,1,1,163295.87,0
716,786,?,Male,?,?,0,?,?,0,?,0
7741,665,Tainan,Female,51,?,0,1,?,?,38928.48,1
8800,?,?,Male,?,?,0,2,?,0,198817.72,0
7124,722,?,Female,38,3,0,2,?,1,?,0
6325,?,Tainan,Female,28,0,0,2,1,1,31165.06,1
8017,?,?,?,?,2,?,2,?,0,134272.57,0
8101,663,Taipei,Male,40,6,156218.19,1,?,1,33607.72,0
6896,610,Taichung,?,49,?,113882.33,1,1,0,195813.81,1
5669,667,Taipei,Male,?,7,0,1,?,1,108348.94,1
2158,744,Taipei,Female,44,3,0,2,1,1,189016.14,0
5284,656,Taichung,Female,23,4,163549.63,1,0,?,21085.12,0
7442,721,?,?,54,?,0,?,?,1,4493.12,0
9,501,Taipei,Male,44,?,?,2,0,1,74940.5,0
4734,710,?,Female,31,1,?,2,?,0,20081.3,0
8328,707,Taipei,Female,35,?,?,2,?,?,70403.65,0
1111,?,?,Female,?,0,185891.54,1,1,1,?,1
5910,691,Taipei,Female,33,6,0,?,1,1,100408.31,0
2314,?,?,?,40,9,106756.01,2,1,0,?,0
7853,?,?,Male,39,?,119695.75,1,0,?,26136.13,0
4863,645,?,Female,55,1,133676.65,?,0,1,?,0
5113,536,Tainan,?,?,4,?,1,1,1,?,0
8427,?,Taipei,Male,?,1,?,2,0,0,?,0
4077,672,Taipei,?,50,1,0,1,1,?,12106.82,1
426,648,Taipei,?,?,9,?,?,1,0,?,0
